,count,mean,median,mode,std,min,max
Calories,260.0,368.27,340.0,0.0,240.27,0.0,1880.0
Calories from Fat,260.0,127.1,100.0,0.0,127.88,0.0,1060.0
Total Fat,260.0,14.17,11.0,0.0,14.21,0.0,118.0
Saturated Fat,260.0,6.01,5.0,0.0,5.32,0.0,20.0
Trans Fat,260.0,0.2,0.0,0.0,0.43,0.0,2.5
Cholesterol,260.0,54.94,35.0,0.0,87.27,0.0,575.0
Sodium,260.0,495.75,190.0,180.0,577.03,0.0,3600.0
Carbohydrates,260.0,47.35,44.0,0.0,28.25,0.0,141.0
Dietary Fiber,260.0,1.63,1.0,1.0,1.57,0.0,7.0
Sugars,260.0,29.42,17.5,0.0,28.68,0.0,128.0
Protein,260.0,13.34,12.0,0.0,11.43,0.0,87.0
