Category,app_count,avg_rating,median_installs,avg_price,paid_share
FAMILY,1832,4.18,50000.0,1.31,0.1
GAME,959,4.247,1000000.0,0.296,0.086
TOOLS,827,4.04,50000.0,0.323,0.094
BUSINESS,420,4.098,1000.0,0.417,0.029
MEDICAL,395,4.167,1000.0,2.521,0.21
PERSONALIZATION,376,4.332,10000.0,0.4,0.215
PRODUCTIVITY,374,4.183,100000.0,0.671,0.075
LIFESTYLE,369,4.093,10000.0,6.398,0.051
FINANCE,345,4.116,10000.0,8.408,0.049
SPORTS,325,4.216,100000.0,0.308,0.074
COMMUNICATION,315,4.121,100000.0,0.264,0.086
HEALTH_AND_FITNESS,288,4.243,100000.0,0.223,0.052
PHOTOGRAPHY,281,4.157,1000000.0,0.421,0.068
NEWS_AND_MAGAZINES,254,4.122,50000.0,0.016,0.008
SOCIAL,239,4.247,100000.0,0.067,0.013
BOOKS_AND_REFERENCE,222,4.345,10000.0,0.54,0.126
TRAVEL_AND_LOCAL,219,4.07,100000.0,0.228,0.055
SHOPPING,202,4.23,1000000.0,0.027,0.01
DATING,171,3.97,10000.0,0.16,0.035
VIDEO_PLAYERS,163,4.045,1000000.0,0.064,0.025
MAPS_AND_NAVIGATION,131,4.036,100000.0,0.206,0.038
EDUCATION,119,4.364,1000000.0,0.151,0.034
FOOD_AND_DRINK,112,4.172,300000.0,0.076,0.018
ENTERTAINMENT,102,4.135,1000000.0,0.078,0.02
AUTO_AND_VEHICLES,85,4.19,100000.0,0.158,0.035
LIBRARIES_AND_DEMO,84,4.178,10000.0,0.012,0.012
WEATHER,79,4.243,1000000.0,0.41,0.101
HOUSE_AND_HOME,74,4.15,500000.0,0.0,0.0
ART_AND_DESIGN,64,4.357,100000.0,0.093,0.047
EVENTS,64,4.436,1000.0,1.719,0.016
PARENTING,60,4.3,100000.0,0.16,0.033
COMICS,56,4.181,100000.0,0.0,0.0
BEAUTY,53,4.279,50000.0,0.0,0.0
